"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"968",9.4875,24.61666667,22.84583333,28.34166667,20.95416667,4.372727273,6.241666667,8.641666667,21.4826087,4.645833333,18.77083333,9.308333333,8.682608696,7.695833333,10.59166667,8.895833333,10.21666667,12.3375,6.429166667,6.054166667,4.6875,7.579166667,9.7125,7.020833333,7.45,25.1625,25.58333333,6.004166667,9.454166667,13.09166667,11.72083333,5.55,11.075,2.408333333,23.60833333,21.2375,10.55833333,9.116666667
"969",6.254166667,10.69166667,9.741666667,11.19166667,7.516666667,3.708333333,5.654166667,4.833333333,5.458333333,8.9,16.22083333,8.091666667,9.608333333,5.570833333,6.9,5.720833333,5.391666667,7.133333333,4.895833333,6.579166667,5.695833333,5.808333333,10.3875,7.7875,6.645833333,18.79583333,16.54166667,6.65,7.208333333,10.40416667,6.5125,4.404166667,4.125,3.883333333,23.7,24.00416667,4.691666667,6.229166667
"970",7.729166667,12.59166667,9.6125,9.641666667,10.53333333,1.4375,4.439130435,4.141666667,9.629166667,12.74583333,8.463636364,7.445833333,14.8375,6.225,7.895833333,6.3375,6.779166667,8.1125,6.516666667,7.820833333,6.279166667,6.9,9.313043478,12.275,7.0625,10.81666667,10.275,7.375,6.725,9.841666667,7.781818182,6.825,6.566666667,5.5,18.98695652,8.070833333,6.408333333,8.325
"971",11.05833333,16.75833333,7.970833333,18.0625,8.2375,5.145833333,6.575,7.1375,4.733333333,11.44583333,10.6,9.004166667,13.75416667,13.00416667,14.25416667,11.35,10.2875,8.404761905,8.108333333,9.095833333,7.4125,11.82083333,12.55416667,11.5125,7.416666667,11.72916667,11.57083333,13.4125,7.042857143,12.09583333,11.75416667,11.51666667,10.08333333,11.9125,19.34583333,8.595833333,5.825,9.216666667
"972",9.8375,17.46666667,13.60416667,13.825,8.641666667,8.6625,9.095833333,7.354166667,7.8125,15.3375,11.51666667,9.679166667,13.93333333,7.525,8.020833333,6.716666667,8.266666667,10.81904762,8.583333333,9.408333333,8.533333333,11.26521739,12.74166667,12.15,8.1625,9.975,9.0875,23.3,8.641666667,11.8875,8.266666667,6.3875,16.52083333,13.80416667,19.39583333,9.340909091,8.233333333,11.64583333
"973",10.40833333,17.69166667,13.40833333,15,13.875,7.441666667,8.9375,9.070833333,10.90416667,10.35909091,12.99583333,10.52916667,10.00416667,11.36666667,13.32916667,11.5375,8.233333333,12.62083333,8.645833333,5.85,5.0875,6.133333333,7.408333333,6.333333333,6.5875,11.67916667,13.16666667,8.220833333,9.1125,12.825,9.65,6.654166667,13.1125,6.279166667,16.21666667,13.69583333,9.616666667,7.254166667
"974",7.5875,13.54090909,10.87083333,18.90833333,13.94583333,3.9875,5.183333333,10.5625,13.18333333,6.016666667,9.208333333,5.8625,7.408333333,12.92916667,17.0625,14.39166667,7.045833333,14.05,4.120833333,5.170833333,5.320833333,5.5,9.186363636,6.991666667,6.391666667,12.88333333,13.66666667,5.5875,4.25,9.058333333,5.7,6.825,14.9125,1.541666667,11.39583333,13.79166667,7.558333333,5.695833333
"975",10.24583333,15.96666667,16.47916667,15.5375,11.82083333,5.55,6.591666667,9.970833333,12.37916667,2.136363636,12.34545455,13.89583333,13.42083333,9.825,12.23333333,8.783333333,9.770833333,11.77083333,7.616666667,6.325,5.6125,5.508333333,8.55,7.2875,5.95,9.275,12.97083333,7.845833333,7.104166667,13.33333333,8.733333333,6.508333333,13.42916667,5.204166667,9.466666667,13.33333333,7.2625,6.7125
"976",10.24166667,15.7625,15.7875,17.17916667,12.72083333,9.7375,10.025,11.17083333,13.63333333,5.547826087,28.525,27.70416667,30.15,12,12.575,12.4625,7.583333333,14.49583333,7.370833333,8.758333333,9,7.983333333,13.18333333,12.22727273,8.629166667,9.170833333,12.09583333,10.55416667,9.845833333,12.65,7.8375,7.775,14.90833333,22.30833333,9.65,10.73333333,7.9625,9.895833333
"977",11.61666667,23.875,27.10416667,24.86666667,18.675,8.2,8.758333333,28.07916667,17.64583333,18.01666667,29.30416667,30.12916667,26.51666667,22.70416667,24.92916667,18.92916667,10.40833333,15.375,8.95,13.58333333,11.14583333,11.575,19.16818182,17.44166667,13.18333333,15.33333333,17.50416667,10.775,11.43333333,15.32916667,9.975,22.3875,19.77916667,28.16666667,20.66818182,19.54583333,10.52916667,15.16666667
"978",11.8375,23.00833333,23.41666667,22.59583333,17.49583333,14.78695652,15.64583333,36.70833333,20.45833333,49.65416667,31.64583333,35.77142857,27.2375,21.625,22.65555556,17.44166667,15.81666667,21.525,9.7375,35.98333333,34.3625,37.59583333,33.88333333,33.37083333,42.075,21.17916667,18.28333333,16.30833333,24.3625,22.51666667,10.99166667,45.00833333,20.52916667,43.45416667,19.45416667,34.475,10.77916667,41.61666667
"979",12.8375,25.575,23.56666667,28.44583333,25.21666667,36.03333333,32.68333333,28.70416667,20.95833333,45,43.20416667,46.2375,55.4125,19.6875,21.55833333,19.22083333,13.67083333,20.39583333,8.991666667,52.95217391,60.5375,50.2875,62.35,54.325,54.8875,17.44166667,19.17083333,26.90416667,19.19166667,23.49583333,14.725,22.61666667,26.51666667,30.67916667,23.79166667,17.74583333,12.37272727,61.925
